iter	Passed	Remaining
818	38195	8441
819	38240	8394
820	38285	8347
821	38329	8299
822	38387	8255
823	38443	8211
824	38487	8164
825	38534	8117
826	38580	8070
827	38628	8024
828	38676	7977
829	38722	7931
830	38768	7884
831	38812	7837
832	38859	7790
833	38906	7743
834	38952	7697
835	38998	7650
836	39043	7603
837	39091	7556
838	39137	7510
839	39182	7463
840	39229	7416
841	39273	7369
842	39320	7323
843	39366	7276
844	39410	7229
845	39455	7182
846	39499	7135
847	39546	7088
848	39591	7041
849	39637	6994
850	39681	6947
851	39726	6900
852	39774	6854
853	39819	6807
854	39864	6760
855	39909	6713
856	39953	6666
857	40000	6620
858	40048	6573
859	40094	6526
860	40139	6480
861	40183	6433
862	40233	6387
863	40280	6340
864	40325	6293
865	40370	6246
866	40413	6199
867	40461	6153
868	40508	6106
869	40552	6059
870	40595	6012
871	40640	5965
872	40688	5919
873	40734	5872
874	40779	5825
875	40824	5778
876	40868	5731
877	40916	5685
878	40965	5639
879	41010	5592
880	41054	5545
881	41098	5498
882	41147	5452
883	41194	5405
884	41239	5358
885	41282	5311
886	41328	5265
887	41376	5218
888	41423	5172
889	41468	5125
890	41512	5078
891	41556	5031
892	41604	4985
893	41651	4938
894	41695	4891
895	41740	4844
896	41785	4798
897	41832	4751
898	41878	4704
899	41923	4658
900	41968	4611
901	42014	4564
902	42063	4518
903	42129	4473
904	42173	4427
905	42218	4380
906	42263	4333
907	42313	4287
908	42358	4240
909	42402	4193
910	42447	4146
911	42495	4100
912	42540	4053
913	42584	4006
914	42630	3960
915	42673	3913
916	42722	3866
917	42769	3820
918	42814	3773
919	42859	3726
920	42904	3680
921	42952	3633
922	42998	3587
923	43043	3540
924	43087	3493
925	43133	3446
926	43180	3400
927	43226	3353
928	43270	3307
929	43315	3260
930	43359	3213
931	43406	3167
932	43459	3120
933	43510	3074
934	43557	3028
935	43602	2981
936	43660	2935
937	43706	2888
938	43753	2842
939	43797	2795
940	43842	2748
941	43889	2702
942	43936	2655
943	43979	2608
944	44024	2562
945	44071	2515
946	44119	2469
947	44166	2422
948	44212	2375
949	44256	2329
950	44301	2282
951	44350	2236
952	44396	2189
953	44442	2142
954	44486	2096
955	44532	2049
956	44579	2003
957	44626	1956
958	44670	1909
959	44715	1863
960	44760	1816
961	44807	1769
962	44855	1723
963	44902	1676
964	44947	1630
965	44991	1583
966	45038	1536
967	45084	1490
968	45129	1443
969	45173	1397
970	45218	1350
971	45266	1303
972	45312	1257
973	45357	1210
974	45402	1164
